RollVelocity , FinalVel2
0 , -nan
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
0 , 0
-0.000725105 , 0.000804999
-0.000725105 , 0.00080467
-0.000725105 , 0.000807005
-0.000725105 , 0.000803467
-0.000725105 , 0.000805145
-0.0150485 , -0.00686738
-0.0150485 , -0.00686992
-0.0150485 , -0.00685919
-0.0150485 , -0.00686504
-0.0150485 , -0.00686914
-0.00752426 , -0.00122568
-0.00752426 , -0.00124202
-0.00752426 , -0.00123393
-0.00752426 , -0.00124277
-0.00752426 , -0.00124577
-0.00376213 , 0.00157526
-0.00376213 , 0.00158391
-0.00376213 , 0.00157487
-0.00376213 , 0.00157207
-0.00376213 , 0.00157806
-0.0172365 , -0.00545005
-0.0172365 , -0.00547111
-0.0172365 , -0.00544612
-0.0172365 , -0.00546297
-0.0172365 , -0.0054582
0.00671544 , 0.00941228
0.00671544 , 0.00941607
0.00671544 , 0.00941202
0.00671544 , 0.00941363
0.00671544 , 0.00941607
-0.0123535 , -0.00181115
-0.0123535 , -0.00181643
-0.0123535 , -0.00180361
-0.0123535 , -0.00180462
-0.0123535 , -0.0017923
-0.00617677 , 0.00283585
-0.00617677 , 0.00277927
-0.00617677 , 0.00282771
-0.00617677 , 0.00279813
-0.00617677 , 0.00285642
-0.00308839 , 0.00511113
-0.00308839 , 0.00511113
-0.00308839 , 0.00513501
-0.00308839 , 0.00510369
-0.00308839 , 0.00512033
-0.00154419 , 0.00627777
-0.00154419 , 0.0062746
-0.00154419 , 0.00627852
-0.00154419 , 0.00627535
-0.00154419 , 0.00630984
-0.0164227 , -0.00180609
-0.0164227 , -0.00180609
-0.0164227 , -0.00186288
-0.0164227 , -0.00181341
-0.0164227 , -0.00178554
-0.00821133 , 0.00434207
-0.00821133 , 0.00435732
-0.00821133 , 0.00428943
-0.00821133 , 0.00432442
-0.00821133 , 0.00434476
-0.00410567 , 0.00742292
-0.00410567 , 0.00741249
-0.00410567 , 0.00737463
-0.00410567 , 0.00740563
-0.00410567 , 0.00745063
-0.00205283 , 0.00890918
-0.00205283 , 0.00895976
-0.00205283 , 0.00891049
-0.00205283 , 0.0089401
-0.00205283 , 0.00894875
-0.00102642 , 0.00971864
-0.00102642 , 0.00970789
-0.00102642 , 0.00970354
-0.00102642 , 0.00972273
-0.00102642 , 0.00970252
-0.000513208 , 0.0100898
-0.000513208 , 0.0100895
-0.000513208 , 0.0101193
-0.000513208 , 0.0100748
-0.000513208 , 0.0100918
-0.000256604 , 0.0102719
-0.000256604 , 0.0103048
-0.000256604 , 0.0102689
-0.000256604 , 0.010287
-0.000256604 , 0.0102795
-0.000128302 , 0.010386
-0.000128302 , 0.010408
-0.000128302 , 0.0103511
-0.000128302 , 0.0103882
-0.000128302 , 0.0103669
0.0152347 , 0.0188277
0.0152347 , 0.0188334
0.0152347 , 0.0188255
0.0152347 , 0.0188281
0.0152347 , 0.018828
0.00761734 , 0.0131352
0.00761734 , 0.0131281
0.00761734 , 0.0131313
0.00761734 , 0.0131292
0.00761734 , 0.0131341
0.00380867 , 0.0102784
0.00380867 , 0.0102818
0.00380867 , 0.0102825
0.00380867 , 0.0102832
0.00380867 , 0.0102817
0.0172592 , 0.0173004
0.0172592 , 0.0173004
0.0172592 , 0.0173004
0.0172592 , 0.0173004
0.0172592 , 0.0173004
0.00862962 , 0.0108479
0.00862962 , 0.0108438
0.00862962 , 0.0108433
0.00862962 , 0.0108452
0.00862962 , 0.0108515
0.0196675 , 0.0160573
0.0196675 , 0.0160688
0.0196675 , 0.0160554
0.0196675 , 0.0160577
0.0196675 , -2.35906
0.00983376 , -2.3676
0.00983376 , -2.36997
0.00983376 , -2.37087
0.00983376 , -1.12097
0.00983376 , -1.1229
-0.178676 , -1.22625
-0.178676 , -1.2294
-0.178676 , -0.585381
-0.178676 , -0.586559
-0.178676 , -0.586115
-0.872702 , -0.947436
-0.872702 , -0.947414
-0.872702 , -0.741635
-0.872702 , -0.741279
-0.872702 , -0.741027
-0.921521 , -0.683131
-0.921521 , -0.578208
-0.921521 , -0.577683
-0.921521 , -0.577798
-0.921521 , -0.577413
-0.881375 , -0.461936
-0.881375 , -0.439801
-0.881375 , -0.439611
-0.881375 , -0.439537
-0.881375 , -0.438685
