RollVelocity , FinalVel2
0 , -nan
8.36441e-17 , -0.0108162
8.36441e-17 , -0.0108315
8.36441e-17 , -0.0107861
8.36441e-17 , -0.0108304
4.18221e-17 , -0.0108328
4.18221e-17 , -0.0108477
4.18221e-17 , -0.0108152
4.18221e-17 , -0.0107969
4.18221e-17 , -0.0108596
2.0911e-17 , -0.010809
2.0911e-17 , -0.0108423
2.0911e-17 , -0.0108033
2.0911e-17 , -0.0108152
2.0911e-17 , -0.0108402
1.04555e-17 , -0.010866
1.04555e-17 , -0.0108088
1.04555e-17 , -0.0108165
1.04555e-17 , -0.0108162
1.04555e-17 , -0.0108101
5.22776e-18 , -0.0108477
5.22776e-18 , -0.0108013
5.22776e-18 , -0.0108152
5.22776e-18 , -0.0108392
5.22776e-18 , -0.0108498
2.61388e-18 , -0.0108284
2.61388e-18 , -0.0108131
2.61388e-18 , -0.0108217
2.61388e-18 , -0.0108284
2.61388e-18 , -0.0108769
1.30694e-18 , -0.0108067
1.30694e-18 , -0.010785
1.30694e-18 , -0.0108281
1.30694e-18 , -0.0108111
1.30694e-18 , -0.0108617
6.5347e-19 , -0.0108155
6.5347e-19 , -0.0107925
6.5347e-19 , -0.0108315
6.5347e-19 , -0.0108315
6.5347e-19 , -0.0108101
3.26735e-19 , -0.0108227
3.26735e-19 , -0.0108423
3.26735e-19 , -0.0108209
3.26735e-19 , -0.0108325
3.26735e-19 , -0.0108057
1.63367e-19 , -0.0108413
1.63367e-19 , -0.0108152
1.63367e-19 , -0.0108294
1.63367e-19 , -0.0108162
1.63367e-19 , -0.0108219
8.16837e-20 , -0.0108617
8.16837e-20 , -0.0107959
8.16837e-20 , -0.0108629
8.16837e-20 , -0.0107817
8.16837e-20 , -0.010823
4.08418e-20 , -0.0108444
4.08418e-20 , -0.0108273
4.08418e-20 , -0.0108033
4.08418e-20 , -0.0108294
4.08418e-20 , -0.0108423
2.04209e-20 , -0.0108067
2.04209e-20 , -0.010826
2.04209e-20 , -0.010824
2.04209e-20 , -0.010839
2.04209e-20 , -0.0108101
1.02105e-20 , -0.0108315
1.02105e-20 , -0.0108108
1.02105e-20 , -0.0108392
1.02105e-20 , -0.0108217
1.02105e-20 , -0.0108219
5.10523e-21 , -0.010825
5.10523e-21 , -0.0108175
5.10523e-21 , -0.0108464
5.10523e-21 , -0.0108121
5.10523e-21 , -0.0108284
2.55262e-21 , -0.0108196
2.55262e-21 , -0.0108217
2.55262e-21 , -0.0108328
2.55262e-21 , -0.0108227
2.55262e-21 , -0.0108263
1.27631e-21 , -0.0108196
1.27631e-21 , -0.0108291
1.27631e-21 , -0.0108253
1.27631e-21 , -0.0108281
1.27631e-21 , -0.0108521
6.38154e-22 , -0.0108348
6.38154e-22 , -0.0108325
6.38154e-22 , -0.0108077
6.38154e-22 , -0.0107969
6.38154e-22 , -0.0108206
3.19077e-22 , -0.010823
3.19077e-22 , -0.0108338
3.19077e-22 , -0.0108227
3.19077e-22 , -0.010823
